10.6.131.10,Белыничи
10.6.152.10,Бобруйск
10.6.133.10,Быхов
10.6.134.10,Глуск
10.6.134.11,Глуск
10.6.135.10,Горки
10.6.136.10,Дрибин
10.6.137.10,Кировск
10.6.137.11,Кировск
10.6.138.10,Климовичи
10.6.138.13,Климовичи
10.6.139.10,Кличев
10.6.140.10,Костюковичи
10.6.140.13,Костюковичи
10.6.141.10,Краснополье
10.6.142.10,Кричев
10.6.142.13,Кричев
10.6.143.10,Круглое
10.6.143.11,Круглое
10.6.145.10,Мстиславль
10.6.145.11,Мстиславль
10.6.146.10,Осиповичи
10.6.147.10,Славгород
10.6.148.10,Хотимск
10.6.149.10,Чаусы
10.6.150.10,Чериков
10.6.151.10,Шклов
